County,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2015-2019","Foreign born persons, percent, 2015-2019","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2015-2019","Median value of owner-occupied housing units, 2015-2019","Median selected monthly owner costs -with a mortgage, 2015-2019","Median selected monthly owner costs -without a mortgage, 2015-2019","Median gross rent, 2015-2019","Building permits, 2019","Households, 2015-2019","Persons per household, 2015-2019","Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","Households with a computer, percent, 2015-2019","Households with a broadband Internet subscription, percent, 2015-2019","High school graduate or higher, percent of persons age 25 years+, 2015-2019","Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","With a disability, under age 65 years, percent, 2015-2019","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2015-2019","In civilian labor force, female, percent of population age 16 years+, 2015-2019","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2015-2019","Median household income (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS_County_Code
Santa Cruz County,273213.0,262350.0,4.1,262382.0,4.9,19.0,17.3,50.5,87.0,1.5,1.8,5.3,0.2,4.2,34.0,56.8,10208.0,17.8,107149.0,60.1,756600.0,2825.0,665.0,1717.0,429.0,95818.0,2.72,85.4,32.1,92.4,87.3,86.3,40.8,8.8,7.3,63.7,59.5,586009.0,1689915.0,1213401.0,5898193.0,4367955.0,16373.0,27.7,82234.0,41312.0,10.6,7051.0,79641.0,3991525.0,0.8,25378.0,29325.0,14998.0,10986.0,6086.0,22079.0,2135.0,25951.0,589.4,445.17,87.0
Shasta County,180080.0,177221.0,1.6,177223.0,5.8,21.6,21.1,50.9,87.6,1.2,3.2,3.1,0.2,4.6,10.5,79.2,13808.0,5.5,78618.0,64.0,252300.0,1593.0,499.0,1039.0,544.0,71181.0,2.47,85.9,8.3,89.3,80.3,91.1,22.2,12.4,7.0,54.2,50.7,285536.0,1324574.0,511871.0,1023859.0,2507063.0,14038.0,20.5,54667.0,29720.0,13.3,4236.0,50673.0,2143426.0,0.8,11945.0,13342.0,7068.0,4162.0,1752.0,10680.0,1422.0,10968.0,46.9,3775.4,89.0
Sierra County,3005.0,3239.0,-7.2,3240.0,4.6,16.5,32.0,49.8,92.6,0.7,2.6,0.9,0.1,3.1,12.7,82.1,292.0,2.3,2368.0,75.4,231400.0,1525.0,548.0,972.0,7.0,1319.0,2.28,94.7,9.7,80.7,74.8,92.4,17.9,12.7,7.1,51.7,50.7,,,,,5072.0,1644.0,30.6,52148.0,33747.0,12.7,69.0,188.0,8054.0,-10.0,259.0,269.0,183.0,64.0,,242.0,,222.0,3.4,953.21,91.0
Siskiyou County,43539.0,44900.0,-3.0,44900.0,5.0,20.1,26.1,50.3,85.9,1.5,5.1,1.6,0.4,5.5,13.2,75.2,3871.0,5.4,24226.0,65.0,198900.0,1329.0,430.0,856.0,50.0,19240.0,2.23,83.4,8.9,87.5,80.2,90.2,23.2,12.9,8.4,49.8,48.0,71463.0,174118.0,203399.0,165194.0,426654.0,9663.0,18.4,45241.0,28615.0,17.4,1062.0,8554.0,324406.0,-3.7,3347.0,3489.0,1626.0,1151.0,411.0,2867.0,283.0,3028.0,7.2,6277.89,93.0
Solano County,447643.0,413343.0,8.3,413344.0,6.0,22.0,16.3,50.2,59.6,14.8,1.3,16.2,1.0,7.1,27.3,37.2,33337.0,20.1,159806.0,61.5,406900.0,2168.0,558.0,1592.0,1089.0,149865.0,2.88,85.6,29.9,94.4,90.5,88.4,26.9,8.1,5.8,62.2,58.5,625627.0,3241785.0,11412211.0,2803726.0,5106627.0,12137.0,33.2,81472.0,35400.0,9.0,7176.0,115426.0,5997197.0,3.1,26699.0,25724.0,11695.0,10091.0,11202.0,13085.0,2296.0,21710.0,503.0,821.77,95.0
Sonoma County,494336.0,483861.0,2.2,483878.0,4.8,19.3,20.7,51.2,86.8,2.1,2.2,4.6,0.4,4.0,27.3,62.9,25613.0,16.4,208305.0,61.5,609600.0,2441.0,649.0,1621.0,2429.0,189374.0,2.59,86.5,25.6,94.2,89.5,88.8,35.5,8.0,8.2,64.9,60.3,1058691.0,3156169.0,6131694.0,4443204.0,6016331.0,12233.0,25.6,81018.0,42178.0,7.2,14304.0,177148.0,9639136.0,2.4,46153.0,52975.0,26518.0,19302.0,9178.0,41571.0,4296.0,45989.0,307.1,1575.85,97.0
Stanislaus County,550660.0,514450.0,7.0,514453.0,7.1,27.0,13.4,50.4,83.3,3.5,2.0,6.1,0.9,4.2,47.6,40.4,21051.0,20.3,182978.0,57.8,291600.0,1702.0,503.0,1155.0,699.0,173898.0,3.09,87.9,42.9,91.6,84.8,78.9,17.1,9.0,7.1,60.9,53.4,705698.0,3634960.0,11703620.0,5295116.0,5933581.0,11373.0,29.9,60704.0,26258.0,13.0,9156.0,145041.0,6675130.0,1.5,30181.0,33036.0,16930.0,11455.0,13341.0,18348.0,2914.0,28584.0,344.2,1494.83,99.0
Sutter County,96971.0,94756.0,2.3,94737.0,6.9,25.8,15.6,50.2,72.7,2.7,2.4,17.0,0.4,4.8,31.9,44.9,5986.0,22.2,34583.0,57.7,279400.0,1677.0,504.0,1033.0,140.0,32636.0,2.91,85.3,37.3,89.0,82.7,78.2,18.2,8.9,9.0,57.7,50.7,116640.0,392432.0,543504.0,1197304.0,1069489.0,11255.0,27.5,59050.0,27371.0,12.8,1813.0,22670.0,970146.0,3.7,6251.0,5461.0,2907.0,1806.0,1957.0,3108.0,542.0,4598.0,157.3,602.41,101.0
Tehama County,65084.0,63440.0,2.6,63463.0,6.1,23.8,19.6,50.3,90.2,1.1,3.3,1.4,0.2,3.7,25.8,67.3,4392.0,8.4,27840.0,65.4,215900.0,1411.0,413.0,872.0,152.0,24189.0,2.61,87.1,18.9,86.0,75.7,84.5,15.7,13.4,8.1,53.3,49.0,65144.0,179484.0,449524.0,88813.0,654574.0,10324.0,23.4,44514.0,24301.0,16.3,967.0,12513.0,538788.0,1.7,3307.0,3954.0,2219.0,1140.0,784.0,3001.0,464.0,3282.0,21.5,2949.71,103.0
Trinity County,12285.0,13784.0,-10.9,13786.0,4.6,17.3,28.3,48.6,87.0,0.8,5.2,1.5,0.2,5.3,7.4,81.9,1150.0,4.7,9013.0,68.9,287700.0,1454.0,355.0,799.0,16.0,5939.0,2.09,88.7,8.6,81.6,67.8,92.4,19.5,13.0,9.0,45.3,43.9,13381.0,27947.0,,,72655.0,5372.0,21.6,40846.0,26523.0,16.5,246.0,1537.0,60871.0,-3.1,915.0,1123.0,543.0,434.0,214.0,838.0,240.0,805.0,4.3,3179.25,105.0
Tulare County,466195.0,442182.0,5.4,442179.0,7.8,30.5,11.6,50.0,88.2,2.2,2.8,4.0,0.2,2.7,65.6,27.7,14633.0,21.8,151603.0,57.1,205000.0,1420.0,421.0,942.0,1872.0,138238.0,3.3,88.6,51.3,87.6,77.7,70.8,14.6,8.2,9.0,59.0,51.1,451880.0,1610236.0,8362447.0,3890547.0,3903527.0,8637.0,22.6,49687.0,21380.0,18.9,6470.0,97726.0,3949277.0,1.1,21098.0,23310.0,12168.0,8115.0,11023.0,11406.0,1677.0,20452.0,91.7,4824.22,107.0
Tuolumne County,54478.0,55368.0,-1.6,55365.0,4.4,16.8,27.0,48.2,90.3,2.0,2.3,1.5,0.3,3.6,12.7,79.7,5190.0,4.8,31700.0,71.3,289200.0,1748.0,571.0,1009.0,66.0,22502.0,2.24,83.6,7.9,90.5,82.0,90.7,20.5,14.2,6.2,48.2,47.7,92814.0,345557.0,173104.0,,573262.0,10614.0,26.9,60108.0,34702.0,11.3,1281.0,12741.0,542100.0,-0.7,4246.0,4466.0,2140.0,1484.0,350.0,3939.0,444.0,3596.0,24.9,2220.88,109.0
Ventura County,846006.0,823398.0,2.7,823318.0,5.7,22.6,16.2,50.5,84.1,2.4,1.9,7.9,0.3,3.5,43.2,44.7,39781.0,21.8,291512.0,63.2,588400.0,2567.0,617.0,1776.0,1146.0,271040.0,3.08,89.7,38.4,92.7,88.2,85.0,33.8,6.8,9.4,65.0,59.1,1597442.0,3987634.0,8333976.0,,11194185.0,13390.0,27.2,88131.0,38595.0,8.2,21344.0,264123.0,14565661.0,2.3,70479.0,76285.0,39995.0,26682.0,25161.0,48210.0,5861.0,67137.0,446.7,1843.13,111.0
Yolo County,220500.0,200855.0,9.8,200849.0,5.3,20.8,12.9,51.5,74.0,3.0,1.8,15.1,0.6,5.6,31.9,46.0,7678.0,23.2,79263.0,51.6,424900.0,2225.0,580.0,1324.0,895.0,74296.0,2.81,79.3,38.0,94.0,88.3,86.5,41.4,6.0,6.8,60.1,56.1,656580.0,846965.0,2538431.0,6762093.0,1968762.0,9645.0,24.0,70228.0,34515.0,16.9,4195.0,67490.0,3299921.0,2.3,13931.0,13884.0,6840.0,5186.0,4258.0,8826.0,1078.0,11829.0,197.9,1014.69,113.0
Yuba County,78668.0,72142.0,9.0,72155.0,7.8,27.4,13.1,49.4,78.4,4.5,2.9,7.3,0.6,6.4,29.1,54.0,5882.0,12.8,29049.0,60.5,257100.0,1677.0,446.0,1002.0,538.0,26354.0,2.84,83.1,25.3,90.5,83.1,82.3,17.1,11.2,7.8,56.1,50.5,54774.0,396851.0,107200.0,,390218.0,5351.0,30.0,58054.0,25583.0,15.2,798.0,10096.0,471655.0,-2.1,3742.0,3432.0,1687.0,1357.0,958.0,2345.0,311.0,2935.0,114.2,631.84,115.0
