County,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2015-2019","Foreign born persons, percent, 2015-2019","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2015-2019","Median value of owner-occupied housing units, 2015-2019","Median selected monthly owner costs -with a mortgage, 2015-2019","Median selected monthly owner costs -without a mortgage, 2015-2019","Median gross rent, 2015-2019","Building permits, 2019","Households, 2015-2019","Persons per household, 2015-2019","Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","Households with a computer, percent, 2015-2019","Households with a broadband Internet subscription, percent, 2015-2019","High school graduate or higher, percent of persons age 25 years+, 2015-2019","Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","With a disability, under age 65 years, percent, 2015-2019","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2015-2019","In civilian labor force, female, percent of population age 16 years+, 2015-2019","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2015-2019","Median household income (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS_County_Code
Merced County,277680.0,255796.0,8.6,255793.0,7.7,29.3,11.4,49.5,82.2,3.9,2.5,7.8,0.4,3.2,61.0,26.5,9225.0,26.3,86388.0,52.2,252700.0,1493.0,460.0,1021.0,948.0,80008.0,3.32,86.6,53.3,91.1,83.9,69.1,13.8,9.1,9.0,59.6,51.0,232910.0,788114.0,4435633.0,2260180.0,1959473.0,7470.0,28.6,53672.0,23011.0,17.0,3140.0,46063.0,1776766.0,0.8,11717.0,12848.0,7163.0,4071.0,6912.0,5448.0,1060.0,11149.0,132.2,1934.97,47.0
Modoc County,8841.0,9682.0,-8.7,9686.0,4.8,19.4,27.5,49.7,88.2,1.4,5.1,1.2,0.4,3.7,14.6,77.2,780.0,7.5,5276.0,74.9,140600.0,1149.0,334.0,717.0,6.0,3616.0,2.33,83.0,12.8,78.3,69.7,84.8,15.2,8.9,9.4,43.9,44.5,8304.0,33918.0,,,45741.0,4904.0,16.1,45507.0,22843.0,20.5,154.0,1137.0,45228.0,-8.3,590.0,427.0,162.0,194.0,55.0,350.0,40.0,347.0,2.5,3917.77,49.0
Mono County,14444.0,14206.0,1.7,14202.0,4.8,17.8,16.1,47.0,90.1,0.8,2.9,2.6,0.4,3.3,26.8,65.8,705.0,19.7,14208.0,64.4,312500.0,1851.0,538.0,1206.0,69.0,4765.0,2.93,83.9,26.3,92.6,84.1,88.6,28.8,4.0,10.2,72.0,70.5,246872.0,69406.0,,,139784.0,9742.0,15.1,62260.0,34552.0,10.1,614.0,7036.0,226382.0,4.1,1443.0,1750.0,987.0,518.0,230.0,1467.0,256.0,1367.0,4.7,3048.98,51.0
Monterey County,434061.0,415059.0,4.6,415057.0,6.9,26.0,14.0,49.1,82.8,3.4,2.6,6.7,0.6,3.8,59.4,29.4,16874.0,29.8,143201.0,51.0,516600.0,2265.0,593.0,1495.0,480.0,127155.0,3.27,88.2,55.2,90.5,84.2,71.5,24.7,5.5,11.9,59.5,54.3,1328768.0,2150972.0,2258929.0,5775222.0,4457401.0,10445.0,23.4,71015.0,30073.0,12.6,8765.0,116241.0,5533432.0,2.7,25963.0,30151.0,15108.0,10537.0,11087.0,17358.0,2414.0,25705.0,126.5,3280.6,53.0
Napa County,137744.0,136535.0,0.9,136484.0,4.8,20.2,19.7,50.2,83.6,2.5,1.3,8.9,0.4,3.3,34.6,51.8,7363.0,22.1,55647.0,64.2,635900.0,2665.0,675.0,1700.0,749.0,48705.0,2.78,88.9,34.9,93.6,89.1,85.5,35.7,7.5,8.0,65.1,60.1,774149.0,1360685.0,4623531.0,,1699004.0,12219.0,25.6,88596.0,45195.0,7.4,4317.0,64285.0,3588207.0,0.2,12334.0,14236.0,7574.0,4309.0,3192.0,10398.0,1446.0,11880.0,182.4,748.36,55.0
Nevada County,99755.0,98747.0,1.0,98764.0,4.2,17.0,28.4,50.9,93.3,0.6,1.3,1.5,0.2,3.1,9.8,84.7,8015.0,4.8,54809.0,74.2,431000.0,2112.0,628.0,1273.0,502.0,40855.0,2.4,89.1,7.6,92.6,85.7,94.4,37.2,9.3,6.8,54.7,49.6,231154.0,525893.0,319706.0,,1012263.0,10299.0,25.5,66096.0,39233.0,9.4,3108.0,29483.0,1230985.0,1.4,12499.0,11822.0,6086.0,3818.0,1029.0,10382.0,1136.0,9929.0,103.1,957.77,57.0
Orange County,3175692.0,3008989.0,5.5,3010232.0,5.8,21.7,15.3,50.7,71.1,2.1,1.0,21.7,0.4,3.6,34.0,39.8,107811.0,30.1,1118110.0,57.4,679300.0,2789.0,651.0,1854.0,8989.0,1037492.0,3.01,87.3,45.6,95.3,90.7,85.5,40.6,5.0,8.1,65.5,58.4,9050642.0,20682196.0,47299400.0,97795980.0,45193624.0,14625.0,28.0,90234.0,41514.0,9.5,98442.0,1531111.0,91976056.0,1.9,323593.0,340116.0,180456.0,119431.0,145603.0,182028.0,22774.0,303786.0,3807.7,790.57,59.0
Placer County,398329.0,348502.0,14.3,348432.0,5.3,22.1,19.9,51.2,83.9,1.9,1.1,8.2,0.3,4.6,14.4,71.5,25888.0,11.4,168919.0,71.9,471500.0,2377.0,689.0,1542.0,2352.0,142855.0,2.67,86.4,15.5,95.2,89.6,94.5,39.7,6.1,4.6,60.1,54.7,1452014.0,3125443.0,932893.0,4474436.0,6437879.0,17800.0,27.9,89691.0,43759.0,6.6,11053.0,155719.0,8300548.0,4.0,34802.0,31846.0,16123.0,10464.0,5173.0,24725.0,3095.0,26285.0,247.6,1407.01,61.0
Plumas County,18807.0,20007.0,-6.0,20007.0,4.8,17.4,28.9,50.2,90.5,1.1,3.2,1.1,0.2,4.0,9.3,83.1,1876.0,4.2,15916.0,72.9,242300.0,1528.0,483.0,916.0,38.0,8450.0,2.16,84.7,7.9,88.4,77.9,95.1,23.7,11.7,6.5,51.1,48.9,,85167.0,,,139325.0,7182.0,19.8,55359.0,35198.0,13.2,606.0,3788.0,178647.0,3.1,1648.0,2039.0,942.0,560.0,198.0,1742.0,218.0,1653.0,7.8,2553.04,63.0
Riverside County,2470546.0,2189765.0,12.8,2189641.0,6.3,24.9,14.8,50.1,79.6,7.3,1.9,7.2,0.4,3.6,50.0,34.1,122308.0,21.6,857148.0,66.3,350100.0,1993.0,572.0,1375.0,8992.0,724893.0,3.28,87.2,41.1,92.7,86.6,82.0,22.3,7.5,9.1,59.7,53.0,5230919.0,8412078.0,15137013.0,18716808.0,25058856.0,11045.0,34.0,67005.0,28596.0,11.3,39822.0,594454.0,24661872.0,3.4,176665.0,175971.0,90803.0,66313.0,85804.0,84871.0,13760.0,156472.0,303.8,7206.48,65.0
